invoice_id,issue_date,customer_id,customer_name,item_description,qty,unit_price,total,status
INV-00170,2023-12-09,C-100,Acme Corp,Licencia Software,16,$ 5000.00,80000.00,Pending
INV-00159,04/04/2023,C-107,Cyberdyne,Mantenimiento,10,100.00,1000.00,Paid
INV-00172,2023-08-14,C-106,Wayne Ent,Cloud Storage,7,20.00,140.00,Pending
INV-00173,2023-05-10,C-104,Umbrella Corp,Mantenimiento,16,100.00,1600.00,Pending
INV-00174,2023/08/01,C-101,Globex Inc,Licencia Software,2,5000.00,10000.00,Pending
INV-00175,2023-02-20,C-110,Dharma Initiative,Consultoria Data,8,1500.00,NULL,Paid
INV-00176,2023-11-01,C-109,Hooli,Mantenimiento,20,100.00,2000.00,Processing
INV-00177,2023-01-15,C-108,Massive Dynamic,Licencia Software,13,5000.00,65000.00,REFUNDED
INV-00178,2023-01-22,C-106,Wayne Ent,Cloud Storage,13,20.00,260.00,Processing
INV-00179,2023-13-4,C-101,Globex Inc,API Access,4,500.00,2000.00,Processing
INV-00180,2023-12-24,C-108,Massive Dynamic,Server Setup,1,1200.50,1200.50,Paid
INV-00181,2023-03-07,C-107,Cyberdyne,Licencia Software,12,5000.00,60000.00,Cancelled
INV-00182,2023-12-26,C-103,Initech,Mantenimiento,3,100.00,300.00,Paid
INV-00183,2023-12-11,C-103,Initech,API Access,10,500.00,5000.00,Paid
INV-00184,2023-03-01,C-109,hooli,Cloud Storage,7,20.00,140.00,Pending
INV-00185,2023-10-06,C-110,Dharma Initiative,Audit Service,18,2000.00,36000.00,Paid
INV-00186,2023-06-30,C-105,Stark Ind,Server Setup,19,1200.50,22808.50,REFUNDED
INV-00187,2023-07-11,C-101,Globex Inc,Cloud Storage,12,20.00,240.00,Cancelled
INV-00188,2023-05-27,C-104,UMBRELLA CORP,Mantenimiento,20,100.00,2000.00,Paid
INV-00189,2023-09-23,C-107,Cyberdyne,Audit Service,6,2000.00,12000.00,Cancelled
INV-00190,2023-04-08,C-102,Soylent Corp,Audit Service,16,2000.00,32000.00,Paid
INV-00191,2023-10-24,C-102,Soylent Corp,API Access,16,500.00,8000.00,Processing
INV-00192,2023-13-16,C-101,Globex Inc,API Access,6,500.00,3000.00,Cancelled
INV-00193,2023-06-15,C-107,Cyberdyne,Server Setup,20,1200.50,24010.00,Pending
INV-00194,2023-03-20,C-109,Hooli,Audit Service,1,$ 2000.00,2000.00,Cancelled
INV-00195,08/02/2023,C-110,Dharma Initiative,Front-end dev,9,$ 50.00,450.00,REFUNDED
INV-00196,2023-12-30,C-105,Stark Ind,Consultoria Data,6,1500.00,9000.00,Pending
INV-00197,2023-04-22,C-102,Soylent Corp,API Access,15,500.00,7500.00,Paid
INV-00198,2023-12-08,C-104,Umbrella Corp,Front-end dev,1,50.00,50.00,Processing
INV-00199,2023-04-27,C-106,Wayne Ent,API Access,5,500.00,2500.00,Processing
INV-00200,2023-01-31,C-101,Globex Inc,Consultoria Data,11,1500.00,16500.00,Pending
INV-00201,2023-03-13,C-102,Soylent Corp,Audit Service,20,2000.00,40000.00,Paid
INV-00202,2023-02-11,C-109,Hooli,Consultoria Data,18,$ 1500.00,27000.00,Cancelled
INV-00203,2023-12-31,C-108,Massive Dynamic,Audit Service,8,2000.00,16000.00,Pending
INV-00204,2023-05-30,C-110,,API Access,7,$ 500.00,3500.00,Pending
INV-00205,2023-10-24,C-108,massive dynamic,Licencia Software,14,5000.00,70000.00,REFUNDED
INV-00206,2023-03-07,C-104,Umbrella Corp,Server Setup,10,1200.50,12005.00,Processing
INV-00207,2023-03-17,C-100,Acme Corp,Mantenimiento,5,100.00,500.00,Paid
INV-00208,2023-11-14,C-101,Globex Inc,Audit Service,11,2000.00,22000.00,REFUNDED
INV-00209,2023-12-16,C-106,Wayne Ent,Front-end dev,12,$ 50.00,600.00,REFUNDED
INV-00210,2023-07-31,C-106,Wayne Ent,Consultoria Data,19,1500.00,28500.00,Paid
INV-00211,2023/08/30,C-104,umbrella corp,Mantenimiento,4,100.00,400.00,REFUNDED
INV-00212,2023-11-23,C-110,Dharma Initiative,Licencia Software,18,5000.00,90000.00,Paid
INV-00213,2023-12-01,C-107,Cyberdyne,Licencia Software,16,5000.00,80000.00,Processing
INV-00214,2023-04-20,C-106,Wayne Ent,Consultoria Data,17,1500.00,NULL,REFUNDED
INV-00215,2023-07-05,C-110,Dharma Initiative,Cloud Storage,16,20.00,320.00,Processing
INV-00035,2023-12-03,C-103,,Audit Service,12,2000.00,24000.00,Cancelled
INV-00217,2023-06-09,C-109,Hooli,Consultoria Data,13,1500.00,19500.00,REFUNDED
INV-00218,2023-08-18,C-108,Massive Dynamic,Mantenimiento,3,100.00,300.00,Cancelled
INV-00219,2023-01-19,C-101,globex inc,Cloud Storage,2,20.00,40.00,Paid
INV-00220,2023-10-22,C-105,Stark Ind,API Access,10,500.00,5000.00,Paid
INV-00221,2023-13-9,C-106,Wayne Ent,Mantenimiento,14,100.00,1400.00,Pending
INV-00222,2023-09-05,C-109,Hooli,Cloud Storage,12,20.00,240.00,Paid
INV-00223,2023-10-02,C-100,Acme Corp,API Access,14,500.00,7000.00,Paid
INV-00224,2023-10-27,C-110,Dharma Initiative,Audit Service,6,2000.00,12000.00,Paid
INV-00225,2023-01-09,C-108,Massive Dynamic,Consultoria Data,17,1500.00,25500.00,REFUNDED
INV-00226,2023/04/03,C-108,Massive Dynamic,Server Setup,7,1200.50,8403.50,Pending
INV-00227,2023-12-04,C-101,Globex Inc,Consultoria Data,1,1500.00,1500.00,Pending
INV-00228,2023-09-28,C-106,Wayne Ent,Front-end dev,19,50.00,950.00,Paid
INV-00229,2023/01/17,C-110,Dharma Initiative,Licencia Software,13,5000.00,65000.00,Pending
INV-00230,2023-04-02,C-105,Stark Ind,API Access,7,USD 500.00,3500.00,Paid
INV-00231,18/01/2023,C-106,Wayne Ent,Audit Service,3,2000.00,6000.00,REFUNDED
,2023-11-10,C-105,Stark Ind,Front-end dev,10,50.00,500.00,Pending
INV-00233,2023-04-27,C-104,umbrella corp,Server Setup,3,1200.50,3601.50,Pending
INV-00234,2023-04-09,C-102,Soylent Corp,Mantenimiento,6,USD 100.00,600.00,Pending
INV-00235,2023-07-29,C-107,Cyberdyne,Server Setup,2,1200.50,2401.00,Pending
INV-00236,2023-03-03,C-110,Dharma Initiative,Cloud Storage,6,20.00,120.00,REFUNDED
INV-00237,11/09/2023,C-108,massive dynamic,Audit Service,14,2000.00,27999.00,Pending
INV-00238,2023-10-24,C-108,Massive Dynamic,Cloud Storage,16,20.00,320.00,Cancelled
INV-00239,01/08/2023,C-101,Globex Inc,Server Setup,18,1200.50,21609.00,REFUNDED
INV-00240,2023-09-04,C-103,Initech,Licencia Software,7,5000.00,35000.00,Paid
INV-00241,2023-08-08,C-104,Umbrella Corp,Cloud Storage,9,20.00,180.00,Pending
INV-00242,2023-06-12,C-110,DHARMA INITIATIVE,Server Setup,17,1200.50,20408.50,Processing
INV-00243,2023-08-30,C-106,Wayne Ent,Audit Service,1,2000.00,2000.00,Pending
INV-00244,2023-06-07,C-102,SOYLENT CORP,Mantenimiento,2,100.00,199.00,Processing
INV-00245,2023-07-05,C-104,Umbrella Corp,Licencia Software,8,5000.00,40000.00,Paid
INV-00246,2023-02-08,C-106,,Server Setup,8,1200.50,9604.00,Processing
INV-00247,2023-05-09,C-102,Soylent Corp,API Access,7,500.00,3500.00,Processing
INV-00248,2023-11-11,C-101,Globex Inc,Mantenimiento,5,100.00,500.00,Cancelled
INV-00249,2023-12-05,C-106,Wayne Ent,Mantenimiento,1,100.00,100.00,Paid
INV-00250,2023-12-15,C-102,Soylent Corp,Licencia Software,1,5000.00,5000.00,Pending
INV-00251,02/07/2023,C-101,Globex Inc,API Access,13,500.00,6500.00,Processing
INV-00252,2023-03-08,C-100,Acme Corp,Audit Service,6,2000.00,12000.00,Paid
INV-00253,2023-12-30,C-107,Cyberdyne,API Access,15,500.00,7500.00,Paid
INV-00254,25/08/2023,C-110,Dharma Initiative,Mantenimiento,19,100.00,1900.00,Processing
INV-00255,2023/04/20,C-105,Stark Ind,Front-end dev,13,50.00,650.00,Cancelled
INV-00256,2023-05-06,C-104,Umbrella Corp,API Access,1,500.00,500.00,Processing
INV-00257,27/10/2023,C-106,Wayne Ent,Audit Service,1,USD 2000.00,2000.00,Pending
INV-00258,2023-04-20,C-107,cyberdyne,Audit Service,13,2000.00,26000.00,Paid
INV-00259,27/06/2023,C-109,Hooli,Consultoria Data,14,1500.00,21000.00,Paid
INV-00260,2023/06/04,C-102,SOYLENT CORP,Server Setup,5,$ 1200.50,6002.50,REFUNDED
INV-00261,2023-01-08,C-104,Umbrella Corp,API Access,15,$ 500.00,7500.00,Cancelled
INV-00262,2023-13-6,C-104,Umbrella Corp,Audit Service,9,2000.00,18000.00,REFUNDED
INV-00263,2023-01-23,C-104,Umbrella Corp,Front-end dev,5,50.00,250.00,Pending
INV-00264,2023-05-02,C-107,Cyberdyne,Audit Service,12,2000.00,24000.00,Processing
INV-00265,2023-07-25,C-108,Massive Dynamic,Consultoria Data,20,1500.00,30000.00,Cancelled
INV-00266,2023-12-20,C-105,Stark Ind,Consultoria Data,5,1500.00,7500.00,Pending
INV-00267,2023-10-04,C-106,Wayne Ent,Front-end dev,7,50.00,350.00,Processing
INV-00268,07/12/2023,C-102,Soylent Corp,Server Setup,4,1200.50,4802.00,Paid
INV-00269,01/08/2023,C-110,Dharma Initiative,Front-end dev,1,50.00,50.00,Processing
,2023-12-08,C-103,Initech,Cloud Storage,13,20.00,260.00,Pending
INV-00271,2023-07-09,C-108,Massive Dynamic,Front-end dev,11,50.00,550.00,Paid
INV-00272,2023-13-2,C-104,Umbrella Corp,Cloud Storage,10,20.00,200.00,REFUNDED
INV-00273,2023-05-06,C-103,Initech,Mantenimiento,20,100.00,2000.00,REFUNDED
INV-00274,2023/01/17,C-102,soylent corp,Mantenimiento,12,100.00,1200.00,Processing
INV-00275,2023-02-04,C-107,CYBERDYNE,Audit Service,14,2000.00,28000.00,REFUNDED
INV-00276,2023-09-11,C-103,Initech,Consultoria Data,18,1500.00,27000.00,Paid
INV-00277,2023-04-17,C-110,Dharma Initiative,Licencia Software,10,5000.00,50000.00,Pending
INV-00278,2023-02-08,C-110,Dharma Initiative,Mantenimiento,1,100.00,100.00,REFUNDED
INV-00190,2023-04-08,C-102,Soylent Corp,Audit Service,16,2000.00,32000.00,Paid
INV-00280,29/10/2023,C-110,Dharma Initiative,Audit Service,3,2000.00,6000.00,Processing
INV-00281,2023-10-10,C-104,Umbrella Corp,Audit Service,16,2000.00,32000.00,REFUNDED
INV-00282,18/12/2023,C-110,dharma initiative,Mantenimiento,18,100.00,1800.00,Processing
INV-00283,2023/05/19,C-103,Initech,Server Setup,16,1200.50,19208.00,Paid
INV-00284,2023-13-23,C-101,Globex Inc,Consultoria Data,10,$ 1500.00,15000.00,Cancelled
INV-00285,2023/10/07,C-107,,Consultoria Data,14,1500.00,21000.00,Paid
INV-00286,2023-01-14,C-104,Umbrella Corp,Audit Service,19,2000.00,38000.00,Processing
INV-00287,2023-02-10,C-100,Acme Corp,Consultoria Data,1,1500.00,1500.00,Pending
INV-00288,2023-10-05,C-110,DHARMA INITIATIVE,API Access,16,USD 500.00,8000.00,Paid
INV-00289,2023-01-06,C-103,Initech,Mantenimiento,20,100.00,2000.00,REFUNDED
INV-00290,2023/12/24,C-107,Cyberdyne,Front-end dev,10,50.00,500.00,REFUNDED
INV-00291,2023-13-22,C-109,Hooli,Audit Service,19,2000.00,38000.00,Processing
INV-00292,2023-05-12,C-107,Cyberdyne,Mantenimiento,13,100.00,1300.00,Paid
INV-00293,2023-06-07,C-100,Acme Corp,Cloud Storage,7,20.00,140.00,REFUNDED
INV-00294,2023-09-03,C-109,Hooli,Front-end dev,2,USD 50.00,100.00,Pending
